variable,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,breaks,is_special_values,variable_name
max_dpd_l12m,"[30.0,inf)",10845,0.05312270389419545,10291,554,0.05108344859382204,0.5511288423343691,0.02105920577766299,0.02263123240894717,inf,False,max_dpd_l12m
max_credit_amt,"[-inf,100000.0)",48091,0.2355669850600049,46888,1203,0.02501507558586846,-0.1899541807584093,0.007781863189518732,0.011976197297708987,100000.0,False,max_credit_amt
max_credit_amt,"[100000.0,150000.0)",28010,0.13720303698261083,27203,807,0.028811138878971795,-0.04476971062666095,0.00026928953848697336,0.011976197297708987,150000.0,False,max_credit_amt
max_credit_amt,"[150000.0,1350000.0)",117593,0.5760127357335293,113767,3826,0.03253595026914868,0.08065653522734834,0.0038926642313100875,0.011976197297708987,1350000.0,False,max_credit_amt
max_credit_amt,"[1350000.0,inf)",10456,0.05121724222385501,10149,307,0.02936113236419281,-0.02529354843844426,3.238033839319445e-05,0.011976197297708987,inf,False,max_credit_amt
num_prev_apps,"[-inf,2.0)",36488,0.17873132500612296,35978,510,0.013977197982898487,-0.7832630323810831,0.07729186487443929,0.11631565789687567,2.0,False,num_prev_apps
num_prev_apps,"[2.0,3.0)",32089,0.15718344354641195,31317,772,0.024058088441522015,-0.22994264862845504,0.007470739871488243,0.11631565789687567,3.0,False,num_prev_apps
num_prev_apps,"[3.0,4.0)",27864,0.13648787656135195,27054,810,0.029069767441860465,-0.03556673855947786,0.00016980039586691494,0.11631565789687567,4.0,False,num_prev_apps
num_prev_apps,"[4.0,inf)",107709,0.5275973548861131,103658,4051,0.03761059892859464,0.23085590691356203,0.03138325275508121,0.11631565789687567,inf,False,num_prev_apps
PL_cnt_30dpd_l1m,"[-inf,inf)",204150,1.0,198007,6143,0.03009061964241979,0.0,0.0,0.0,inf,False,PL_cnt_30dpd_l1m
count_family_members,"[-inf,2.0)",44602,0.21847661033553759,43323,1279,0.02867584413255011,-0.049615987792655185,0.0005254747278904365,0.0019408117231826387,2.0,False,count_family_members
count_family_members,"[2.0,3.0)",104869,0.5136860151849131,101620,3249,0.030981510265187997,0.030096051944554326,0.0004719210694219509,0.0019408117231826387,3.0,False,count_family_members
count_family_members,"[3.0,4.0)",35334,0.17307861866274799,34333,1001,0.02832965415746873,-0.062118329020271444,0.0006487117112690903,0.0019408117231826387,4.0,False,count_family_members
